"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",4754,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",2552,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",18182,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4343,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4923,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1863,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",47138,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",5699,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",13646,,
"ITG","Isole","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",23660,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",20891,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",888,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",21447,,
"ITF","Sud","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",53546,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",235153,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",2921,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",13426,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",4874,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",7854,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",62158,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",5485,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",4023,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",33739,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",17886,,
"ITE","Centro","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",42275,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",996,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",22860,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",15104,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",3071,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",4206,,
